group,column
배터리_충전,low_battery_ratio
배터리_충전,charge_queue_length
배터리_충전,avg_charge_wait
혼잡_충돌,congestion_score
혼잡_충돌,max_zone_density
혼잡_충돌,near_collision_15m
주문_수요,order_inflow_15m
주문_수요,unique_sku_15m
주문_수요,urgent_order_ratio
주문_수요,sku_concentration
로봇_AGV,robot_utilization
로봇_AGV,robot_charging
로봇_AGV,task_reassign_15m
로봇_AGV,agv_task_success_rate
KPI_성과,kpi_otd_pct
KPI_성과,sort_accuracy_pct
KPI_성과,manual_override_ratio
인력_안전,staff_on_floor
인력_안전,forklift_active_count
인력_안전,safety_score_monthly
물류_재고,loading_dock_util
물류_재고,staging_area_util
물류_재고,inventory_turnover_rate
물류_재고,backorder_ratio
환경_시설,warehouse_temp_avg
환경_시설,humidity_pct
환경_시설,layout_compactness
환경_시설,maintenance_schedule_score
외부_날씨,external_temp_c
외부_날씨,precipitation_mm
인프라,wms_response_time_ms
인프라,network_latency_ms
인프라,scanner_error_rate
